Price,Validity,Description,Tags,Circle,Time,Price2,Days2,Tag1,Tag2,clean_price_per_day
Rs. 199,30 days,"Enjoy unlimited Local, STD & Roaming calls on any network, Total 3GB Data & 300 SMS -- Valid for 30 days--Free Hellotunes--FreeWynkMusic",Himachal Pradesh Airtel Local,Punjab,2023-Q1,199.0,30,Himachal,Pradesh Airtel Local,6.633333333
Rs. 128,30 days,"Local & STD calls 2.5p/sec, National video calls 5p/sec, DATA 50p/MB, SMS local Rs.1 STD Rs.1.5 ISD Rs.5, National Roaming Local 80p/min, STD Rs -- 1.5/min, SMS local 25p STD 38p",Himachal Pradesh Airtel Local,Punjab,2023-Q1,128.0,30,Himachal,Pradesh Airtel Local,4.266666667
Rs. 19,1 days,Data: 1GB -- Validity: 1 Day,Himachal Pradesh Airtel Local,Punjab,2023-Q1,19.0,1,Himachal,Pradesh Airtel Local,19.0
Rs. 18,28 days,Enjoy ISD calling at discounted rates for 28 days -- For country wise tariff visit www.airtel.in,Haryana Airtel ISD,Punjab,2023-Q1,18.0,28,Haryana,Airtel ISD,0.642857143
Rs. 58,N.A.,3 GB Data -- Validity same as your existing bundle /smart pack,Andhra Pradesh Airtel 4G Data,Punjab,2023-Q1,58.0,N.A.,Andhra,Pradesh Airtel 4G Data,
Rs. 2998,30 days,"International Roaming : 5 GB Data, 200mins IC+OG (India + Local), 20 SMS (covers-US, Europe, Gulf & -- more - Set1) 2.5 GB Data, 100mins IC+OG (India + Local), 10 SMS (covers-Africa, Maldives & -- more - Set2) -- More covered countries: visit www.airtel.i",Andhra Pradesh Airtel Other,Punjab,2023-Q1,2998.0,30,Andhra,Pradesh Airtel Other,99.933333333
Rs. 131,32 days,"Local & STD calls 2.5p/sec, National video calls 5p/sec, DATA 50p/MB, SMS local Rs.1 STD Rs.1.5 ISD Rs.5, National Roaming Local 80p/min, STD Rs -- 1.5/min, SMS local 25p STD 38p",Haryana Airtel 4G Data,Punjab,2023-Q1,131.0,32,Haryana,Airtel 4G Data,4.09375
Rs. 999,84 days,"Enjoy unlimited Local, STD & Roaming calls on any network, 2.5GB/day data and 100 SMS/day and Disney+ Hotstar Mobile for 3 months on Airtel App & Web--Amazon Prime subscription for 84 days--Xstream App (Claim Hoichoi and Win* iPhone 14)84 days free access",Haryana Airtel 4G Data,Punjab,2023-Q1,999.0,84,Haryana,Airtel 4G Data,11.892857143
Rs. 98,N.A.,Data : 5 GB --Wynk Music Premium subscription -- Validity : Same as your existing pack-- Pack Applicable for Active Bundle and Smart Pack Users,Haryana Airtel 4G Data,Punjab,2023-Q1,98.0,N.A.,Haryana,Airtel 4G Data,
Rs. 319,32 days,"Enjoy unlimited Local, STD & Roaming calls on any network, 2GB/day Data and 100 SMS/day,Validity: 1 Month--Apollo 24--7 Circle:3 Months,at No Cost--Get Rs -- 100 cashback on FASTag--Free Hellotunes--Wynk Music Free",Himachal Pradesh Airtel Local,Punjab,2023-Q1,319.0,32,Himachal,Pradesh Airtel Local,9.96875
